[ost_a.smc]
5F: so_should; What Should Be; Star Ocean; Motoi Sakuraba; Gi Nattak; Rune Walsh
60: som_happening; A Curious Happening; Secret of Mana; Hiroki Kikuta; Gi Nattak; FF5→FF6 MCS2
61: sd3_machine; Faith Total Machine; Seiken Densetsu 3; Hiroki Kikuta; Gi Nattak; mfvitools
62: dq2_requiem; Requiem; Dragon Quest II; Koichi Sugiyama; Gi Nattak; Jay Reichard
63: pkm_gym; Gym Battle; Pokemon red/blue/yellow; Junichi Masuda; Gi Nattak; Machiavel
64: ys_step; First Step Towards Wars; Ys; Ryo Yonemitsu; Gi Nattak; Joo *Johnnyz* Buaes
65: top_resurrection; Resurrection; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak; Cacau
66: mtlmx_forget; The One Who Cannot Forget; Metal Max 2; Satoshi Kadokura; Gi Nattak; GO
67: doom_halls; Dark Halls; Doom; Bobby Prince; Gi Nattak; gamerip
68: bfm_plan; Terrible Plan of the Vambees; Brave Fencer Musashi; Tsuyoshi Sekito; Gi Nattak; Degeon
69: cc_garden; Garden of the Gods; Chrono Cross; Yasunori Mitsuda; Gi Nattak; Freddie
6A: mmx_boss; Boss Appears; Mega Man X; Alph Lyla group; Gi Nattak; Jarel Jones
6B: tc_ship; Salvage Ship; Treasure Conflix; Junya Nakano; Gi Nattak; SPC injection
6D: vp_world; Rise Above the World; Valkyrie Profile; Motoi Sakuraba; Gi Nattak; Chief Ug
6E: smtd_norfair; Lower Norfair; Super Metroid; Minako Hamano, Kenji Yamamoto; Gi Nattak; Ryan L.
6F: ff7_fight; Those Who Fight; Final Fantasy VII; Nobuo Uematsu; Jackimus; Jackimus
70: ff9_eiko; Eiko's Theme; Final Fantasy IX; Nobuo Uematsu; Jackimus; Jackimus
71: ffmq_battle; Battle Theme; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; Jackimus; Jackimus
72: so3_moon; Reflected Moon; Star Ocean 3; Motoi Sakuraba; Gi Nattak; Ed76638
73: skd2_chase; The Chase; Suikoden II; Miki Higashino, Keiko Fukami; Gi Nattak; Insane Apu
74: dkc2_bop; Hot Head Bop; Donkey Kong Country 2; David Wise; Gi Nattak; Genius_41
75: lf2_sorrow; Sorrow of Parting; Lufia II; Yasunori Shiono; Gi Nattak; Daniel Marjenburgh
76: xnb_names; You Will Know Our Names; Xenoblade; ACE+; Jackimus; Jackimus
77: lf2_battle; Battle Theme; Lufia II; Yasunori Shiono; Jackimus; Jackimus
78: ff5_earth; Cursed Earth; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
79: ff4_town; Welcome to Our Town; Final Fantasy IV; Nobuo Uematsu; Gi Nattak; kaminoken
7A: sgf_battle5; Battle #5; Saga Frontier; Kenji Ito; Tsushiy; unknown
7B: ff5_bridge; Clash on the Big Bridge; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
7C: xng_emperor; Grahf Emperor of Darkness; Xenogears; Yasunori Mitsuda; Tsushiy; unknown
7D: ff5_tenderness; Tenderness in the Air; Final Fantasy V; Nobuo Uematsu; Gi Nattak; FF5→FF6 MCS2
7E: smrpg_boss; Fight Against an Armed Boss; Super Mario RPG; Yoko Shimomura; Gi Nattak; mfvitools
